"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-01","0.00","D,,S","67","H,,S","80",",,S","52",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-02","0.00","D,,S","61","H,,S","78",",,S","51",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-03","0.00","D,,S","64","H,,S","78",",,S","47",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-04","0.00","D,,S","64","H,,S","83",",,S","49",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-05","0.00","D,,S","66","H,,S","82",",,S","50",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-06","0.00","D,,S","66","H,,S","82",",,S","49",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-07","0.00","D,,S","62","H,,S",,,"53",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-08","0.00","D,,S","69","H,,S","84",",,S","50",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-09","0.00","D,,S","69","H,,S","85",",,S","52",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-10","0.00","D,,S","69","H,,S","81",",,S","58",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-11","0.00","D,,S","70","H,,S","83",",,S","54",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-12","0.00","D,,S","69","H,,S","81",",,S","54",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-13","0.00","D,,S","69","H,,S","83",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-14","0.00","D,,S","67","H,,S","83",",,S","52",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-15","0.00","D,,S","69","H,,S","84",",,S","55",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-16","0.00","D,,S","66","H,,S","80",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-17","0.00","D,,S","65","H,,S","79",",,S","51",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-01-18","0.00","D,,S","65","H,,S","78",",,S","50",",,S"
